JUSTIFICACION ;PRODUCTO RELACIONADO;DESCRIPCION
La empresa AGROTEST S.A.S. cuenta con una amplia experiencia en el desarrollo de actividades relacionadas con el agro nacional mediante la investigación y desarrollo de semillas y productos agrícolas, Caracterizándose por llevar a cabo procesos bajo las mejores condiciones, y ofrecer a sus clientes productos de la mas alta calidad, ubicándose en el municipio de Villavicencio, departamento del Meta, contando a su vez con muy buenas referencias comerciales como lo son Semillanos y Fedearrroz.;111400;Maíz
El señor Fabio Augusto Corredor Villamil oriundo del municipio de Neiva, departamento del Huila cuenta con una trayectoria de poco mas de 20 años en el desarrollo de actividades relacionadas con el cultivo de arroz en dos predios repartidos en el municipio de Tello, Huila. Se caracteriza por llevar a cabo una actividad bajo las mejores condiciones y ofrecer a sus clientes productos de la mas alta calidad, suministrando arroz a marcas reconocidas en el mercado como lo son Diana Corporación S.A.S, Organización Roa Flor Huila S.A, entre otros.;111150;Arroz con riego
El señor Gildardo Avila Castiblanco oriundo del municipio de Tame, Arauca cuenta con una experiencia de mas de 8 años en el desarrollo de actividades agrícolas mediante el cultivo de arroz secano, sus cultivos se encuentran en una finca ubicada en el municipio de Aguazul, Casanare contando con una extensión de 173 hectáreas las cuales serán expandidas a 300 hectáreas sembradas, se caracteriza por llevar a cabo una actividad bajo las mejores condiciones y ofrecer a sus clientes productos de la mas alta calidad.;111200;Arroz secano
"El señor Luis Angel Gutierrez Ortiz oriundo del municipio de Carmen de Apicalá cuenta con una amplia experiencia en la construcción y ejecución de obras civiles de edificios residenciales; sin embargo, planea incurrir en el desarrollo de actividades agrícolas realizando la cosecha y siembra de arroz en sociedad en un terreno ubicado en el municipio de Lérida, Tolima. Requiere maquinaria para el desarrollo de sus labores de campo, mejorando sus condiciones de operacion ofreciendo a sus clientes productos de la mas alta calidad.";111150;Arroz con riego
La empresa AGRICOLA ALTO DE GUALANDAY S.A.S. cuenta con una trayectoria de poco mas de 30 años de experiencia en el desarrollo de actividades relacionadas con la explotación agropecuaria mediante la cría de ganado Bovino y Bufalino, especializándose en la producción de leche, llevando a cabo una actividad bajo las mejores condiciones, ofreciendo a sus clientes productos de la mas alta calidad. Del mismo modo, planea incurrir en la siembra de arroz en sociedad en un predio ubicado en el municipio de Ibagué, realizando a su vez la explotación agrícola.;111150;Arroz con riego
El señor Cesar Augusto Garcia Gomez oriundo del municipio de Florencia, departamento del Caquetá cuenta con una trayectoria de poco mas de 5 años en el desarrollo de actividades relacionadas con el cultivo de maíz en un predio ubicado en el municipio de San Juan de Arama, Meta. Se caracteriza por llevar a cabo una actividad bajo las mejores condiciones y ofrecer a sus clientes productos de la mas alta calidad, contando con un total de 50 hectáreas para la ejecución de sus actividades agro productivas.;111400;Maíz
La señora Melba Castellanos Frade oriunda del municipio de Villavicencio, Meta cuenta con una amplia trayectoria en el desarrollo y ejecución de actividades relacionadas con el sector agropecuario mediante la ganadería por medio de la cría de ganado Brahman blanco. Del mismo modo, actualmente cuenta con un total de 135 hectáreas cultivadas en palma de aceite de las cuales 50 se encuentran en producción, entre un promedio de 12 a 14 toneladas por hectárea, desarrollando sus actividades en dos predios ubicados en el departamento de Casanare.;151250;Palma aceitera
La señora Elvia Dayana Gaitán Collazos cuenta con una buena trayectoria en el desarrollo y ejecución de actividades relacionadas con el cultivo de palma de aceite en dos predios ubicados en el departamento del Meta, contando con una extensión total de 350 hectáreas para el desarrollo de su objeto social, con cultivos en producción de aproximadamente 2 años. Se caracteriza por ofrecer a sus clientes productos dar la mas  alta calidad y brindar a sus cultivos un correcto manejo con la finalidad de maximizar rendimientos.;151250;Palma aceitera
LUDYS DEL CARMEN BARRERA PARRA se dedica a la producción de banano, papaya y maíz, la actividad productiva se lleva a cabo en la finca La Marcela, la cual esta dividida en tres predios llamados La Gloria, Farolito y La Antorcha, con un total de 167 hectáreas, de las cuales aproximadamente 55 hectáreas se encuentran totalmente cultivadas, ubicados en el departamento de Córdoba en el municipio de Valencia.;141420;Banano
El señor Carlos Andres Rojas Londoño, oriundo del municipio de Puerto Berrío, Antioquia cuenta con una amplia trayectoria en el desarrollo de actividades relacionadas con el apoyo a la ganadería mediante la producción de pacas de heno para la elaboración del alimento destinado al ganado bovino, equino, entre otras especies. Para el desarrollo de su actividad, cuenta con un predio en arriendo en el cual cumple con un total de 200 hectáreas sembradas en pasto, dando un correcto manejo a sus cultivos permitiendo garantizar la calidad de los productos que ofrece.;144050;Otros Cultivos
El señor Omar Gonzalez Vargas, oriundo del municipio de Palermo, Huila cuenta con una trayectoria de poco mas de 15 años en el desarrollo de actividades relacionadas con la explotación agrícola mediante el cultivo de arroz, contando con una extensión de 14 hectáreas en donde lleva a cabo su objeto social caracterizándose por ofrecer a sus clientes productos de la mas alta calidad contando con referencias importantes dentro del mercado como los son Diana Corporación y ORF.;111150;Arroz con riego
"Somos INVERSIONES MOLINO PACANDE S.A.S. - IMOPAC S.A.S. nuestra empresa fue creada en el año 1.977 por Don Aureliano Aragón R. nos dedicamos a la compra, transformación, trilla y comercialización de arroz y sus subproductos, bajo sus marcas propias ""Arroz Pacandé"" y ""Arroz Don Tomate"", así mismo contamos con cultivos de arroz propios en La Meseta y sur del Tolima con 1600 hectáreas anuales. Dentro del proceso de transformación de arroz se encuentran los procesos de descascarillado, limpieza y clasificación por color, permitiendo seleccionar el arroz de acuerdo a sus características particulares y ofrecer un producto de excelente calidad, realizamos nuestra actividad económica en la Zona Industrial de Ibagué, ubicación seleccionada por ser este departamento el que produce el mejor arroz de Colombia. Dentro del proceso de transformación de arroz se encuentran los procesos de descascarillado, limpieza y clasificación por color, permitiendo seleccionar el arroz de acuerdo a sus características particulares y ofrecer un producto de excelente calidad. Certificamos que durante el año 2021 realizamos un total de compras por la suma de $48.814.630.957 de las cuales el 100% son compras de Arroz Paddy de origen nacional.";111150;Arroz con riego
Somos MINERA PROVIDENCIA S.A. - MINPRO S.A. nuestra compañía está dedicada a el comercio al por mayor de productos químicos básicos cauchos y plásticos en formas primarias y productos químicos de uso agropecuario como fertilizantes, ya que los cultivos y tierras son la prioridad número uno de MINPRO por eso le ofrecemos los mejores productos para que su cosecha produzca los mejores frutos y sus tierras continúen siendo fértiles. Certificamos que durante el periodo de Enero a Septiembre de 2022 realizamos un promedio de ventas totales por la suma de $20.297.579.187, de las cuales el 100% son ventas al sector agropecuario nacional.;144050;Otros Cultivos
Somos CONSTRUFIJACIONES S.A.S.  nos dedicamos a la venta y distribución de bombas sumergibles para pozo profundo en acero inoxidable, motores sumergibles, bombas centrífugas de una o varias etapas y bombas tipo turbina, así como sistemas de irrigación agrícola, redes eléctricas, plantas eléctricas, motores, entre otros. Estamos ubicados en Barranquilla con constitución oficial el año 2004, y certificamos que y durante el año 2021 al corte de diciembre realizamos un promedio de ventas totales anuales por la suma de $4.312.338.791, de las cuales el  15 %, es decir el valor de $646.850.818 son ventas al sector agropecuario nacional de herramientas a clientes productores como  Palmas Oleaginosas del Cesar (cultivador de palma Africana), Jorge Garrido (cultivador de palma Africana) y  Agritaco- (cultivador de palma Africana). ;151250;Palma aceitera
"Somos AGROVINA AUSTRALIA S.A.; una compañía constituida en el año 1966. Nuestro objeto social principal es la actividad mixta agrícola y pecuaria. Nos dedicamos a la producción de carne ovina de primera calidad para el mercado Nacional contando con un inventario actual de 501 animales. Desarrollamos nuestras actividades productivas en el municipio de Suesca (Cundinamarca) y contamos con el predio Australia, de tenencia propia de la compañía, el cual cumple con las condiciones edafoclimáticas óptimas para el desarrollo de nuestras actividades agropecuarias. ";245150;Ovinos y Caprinos
Somos PRODUCTORA DE CABOS DE COLOMBIA S.A.S., nuestra empresa se dedica a la producción, comercialización, importación y exportación de toda clase de mangos y cabos para herramientas, en madera y/o fusionados en aluminio, acero o bronce, para uso doméstico, la construcción, el sector agrícola o industrial, tales como, palas, azadones, rastrillos, picas, carretillas y mangueras de riego para el sector agrícola. Certificamos durante el año 2022 realizamos un promedio de ventas totales anuales por la suma de $3.117.532.000, de las cuales el 60 %, es decir el valor de $1.870.519.000 son ventas al sector agropecuario nacional de herramientas al cliente. ;144050;Otros Cultivos
Nuestra compañía PRODUCTOS ALIMENTICIOS EL RECREO S.A.S. con más de 35 años en el mercado, especializados y dedicados a la recolección, compra, transformación de leche cruda, para la fabricación de productos alimenticios derivados lácteos, elaborados con altos estándares de calidad. Contamos con un portafolio amplio de productos derivados de la leche como: leches, yogurt, gelatinas, quesos, crema de leche, entre otros. Realizamos la venta de los productos bajo marca propia llamada Recreo, con gran reconocimiento en el mercado por nuestra trayectoria relacionándonos 100% con el sector agropecuario nacional. Certificamos que durante el 2022 realizó un promedio de compras totales materia prima por la suma de $153.362.805.124 pesos de las cuales la leche cruda representan el 89,98%, es decir el valor de $137.998.152.339 pesos son compras al sector agropecuario nacional a clientes ganaderos.;253100;Ganadería Leche
Somos FOODME BOGOTA S.A.S. nuestra compañía se dedica a la preparación y expendio de alimentos a la carta y/o menú degustación para su consumo, mediante servicio a la mesa, distribución de productos, servicios alimenticios y suministro de bebidas no alcohólicas y bebidas alcohólicas. Desarrollamos nuestra actividad de transformación en la ciudad de Bogota D.C - Cundinamarca. Certificamos que durante el periodo de enero a diciembre de 2022 realizó un promedio de compras totales anuales por la suma de $1.939.956.129, de las cuales el 62.15%, es decir el valor de $1.205.583.224, son compras al sector agropecuario nacional como: huevos, leche, azúcar, carne de res, pollo, pescados, mariscos, vegetales, frutas, entre otros.;151330;Otros Frutales
Somos SUCAMPO-SULLANTA S.A.S., una empresa tolimense con más de 60 años de experiencia en el mercado, dedicada al trabajo en el sector agrícola y automotriz, con presencia en otros departamentos de Colombia. Los agroquímicos, fertilizantes y semillas que distribuimos son de la mejor calidad, contribuyen a preservar los recursos y mejoran la calidad de vida. Algunos de nuestros proveedores: Syngenta, Basf, Bayer, Corteva, Adama, FMC, UPL, Yara, Precisagro, Magro, Monómeros, Manuchar, DVA, Gowan, Nufarm, Rotam, Agrocentro, Avgust, Monsanto, Disan. Las alianzas estratégicas que tenemos, nos ha permitido posicionarnos como una empresa líder y multiplicadora hacia los clientes. Dentro de nuestro portafolio contamos con semillas, de arroz y maíz, glifosato, propanil, amina, urea, entre otros.;111200;Arroz secano
En C.I UNION DE BANANEROS DE URABÁ S.A. - UNIBAN somos una empresa dedicada al suministro de insumos y servicios agropecuarios como lo son la producción de cajas de cartón corrugado para el sector hortofrutícola, embalajes de papel, y fabricación de envases dirigidos a la exportación bananera. Adicional a esto, nos dedicamos a la prestación de servicios de lavado de banano y operaciones logísticas relacionadas con la exportación y conexiones en Europa, Asia, Norte, Centro y Suramérica, también manejamos líneas de producción de snacks y la venta de piña, banano, y plátano, dirigiendo nuestros esfuerzos a la responsabilidad social de forma que fomentemos los proyectos productivos de la región del Urabá Antioqueño. Con base en la información anterior demostramos nuestra relación en un 100% con el sector agropecuario nacional.;141420;Banano
En C.I UNION DE BANANEROS DE URABÁ S.A. - UNIBAN somos una empresa dedicada al suministro de insumos y servicios agropecuarios como lo son la producción de cajas de cartón corrugado para el sector hortofrutícola, embalajes de papel, y fabricación de envases dirigidos a la exportación bananera. Adicional a esto, nos dedicamos a la prestación de servicios de lavado de banano y operaciones logísticas relacionadas con la exportación y conexiones en Europa, Asia, Norte, Centro y Suramérica, también manejamos líneas de producción de snacks y la venta de piña, banano, y plátano, dirigiendo nuestros esfuerzos a la responsabilidad social de forma que fomentemos los proyectos productivos de la región del Urabá Antioqueño. Con base en la información anterior demostramos nuestra relación en un 100% con el sector agropecuario nacional.;141420;Banano
